age,gender,gaming_hours,study_hours,sleep_hours,attendance,social_activity,device_usage,uso_no_gaming,stress_level,gaming_cat,grades,grades_original,flag_grades_gt100,flag_ajustado
24,Female,6.06,9.57,7.36,63.69,2.29,8.57,2.51,Low,Alto,100.0,100.81507527205808,True,True
16,Female,0.88,5.95,7.88,68.2,4.93,2.04,1.16,Medium,Bajo,92.02,92.02,False,False
18,Female,0.22,2.64,5.98,90.93,0.15,4.53,4.31,Medium,Bajo,56.32,56.32,False,False
22,Female,2.19,8.57,8.54,68.96,3.48,7.54,5.35,Medium,Bajo,100.0,100.0,False,False
19,Female,2.15,4.56,6.73,63.7,1.86,6.82,4.67,Medium,Bajo,75.09,75.09,False,False
24,Male,6.54,9.07,7.39,83.89,4.53,12.02,5.48,Low,Alto,88.43,88.42652901676423,False,True
18,Female,5.69,3.35,4.47,81.92,4.56,11.34,5.65,Low,Alto,39.16,39.16,False,False
20,Male,7.85,4.54,7.16,84.32,1.94,11.1,3.25,Low,Alto,44.94,44.94,False,False
18,Female,5.69,5.54,8.4,84.73,1.11,10.18,4.49,Low,Alto,69.53,69.53,False,False
22,Male,3.35,9.03,4.89,80.01,2.14,6.34,2.99,High,Medio,88.37,88.37,False,False
20,Female,5.59,8.82,7.69,79.75,4.83,11.19,5.6,Low,Alto,88.79,88.78828867430884,False,True
24,Female,8.0,6.17,4.13,96.97,1.41,11.81,3.81,Low,Alto,40.93,40.92761123181735,False,True
22,Female,5.68,3.0,8.63,81.36,4.91,10.44,4.76,Low,Alto,42.99,42.99,False,False
17,Male,6.09,4.63,8.91,84.69,4.1,7.16,1.07,Low,Alto,62.63,62.63,False,False
19,Male,7.49,9.75,5.75,70.68,1.34,11.39,3.9,High,Alto,71.67,71.67337105144001,False,True
24,Female,0.91,6.47,4.54,94.84,3.96,5.62,4.71,Medium,Bajo,83.48,83.48,False,False
17,Female,5.64,8.03,7.29,60.97,0.25,7.93,2.29,Low,Alto,74.55,74.54685540039097,False,True
24,Male,6.81,5.05,4.15,82.29,2.74,7.88,1.07,Low,Alto,30.39,30.39,False,False
20,Other,7.64,5.79,6.41,75.35,1.79,12.36,4.72,Low,Alto,38.94,38.94,False,False
17,Female,1.69,4.86,5.36,84.16,2.13,4.38,2.69,Medium,Bajo,79.96,79.96,False,False
19,Male,4.03,7.33,6.37,74.41,2.36,7.17,3.14,Medium,Medio,86.79,86.79,False,False
22,Female,5.44,8.66,4.09,88.71,2.51,9.25,3.81,High,Medio,77.65,77.6456270607162,False,True
23,Female,1.98,5.57,4.26,60.81,3.28,3.53,1.55,Medium,Bajo,69.57,69.57,False,False
18,Male,4.8,5.33,4.08,76.24,3.48,6.32,1.52,Medium,Medio,55.77,55.77,False,False
16,Male,2.06,4.06,7.1,93.25,4.88,7.86,5.8,Medium,Bajo,74.5,74.5,False,False
19,Female,2.67,2.59,6.8,70.01,3.81,5.36,2.69,Medium,Bajo,56.86,56.86,False,False
17,Female,3.53,9.45,5.17,62.11,3.44,5.81,2.28,High,Medio,86.86,86.86,False,False
23,Male,4.23,3.84,7.23,79.86,1.96,5.47,1.24,Medium,Medio,64.03,64.03,False,False
19,Female,3.59,8.21,8.42,99.06,0.59,5.46,1.87,Medium,Medio,99.32,99.32,False,False
17,Female,3.95,7.44,5.39,62.57,0.29,7.1,3.15,High,Medio,66.87,66.87,False,False
21,Female,2.39,8.12,8.16,62.8,2.39,5.1,2.71,Medium,Bajo,93.83,93.83,False,False
21,Male,1.27,9.43,7.31,83.8,3.34,4.39,3.12,Medium,Bajo,100.0,100.0,False,False
19,Female,0.38,6.61,4.17,70.0,3.25,4.9,4.52,Medium,Bajo,78.34,78.34,False,False
21,Male,1.57,9.08,5.88,76.41,4.76,5.78,4.21,High,Bajo,100.0,100.0,False,False
17,Male,4.66,2.51,6.54,93.22,1.91,8.13,3.47,Medium,Medio,57.56,57.56,False,False
17,Male,6.29,6.64,7.66,67.95,3.14,11.36,5.07,Low,Alto,63.94,63.94,False,False
19,Female,1.35,7.95,5.44,88.77,4.44,6.64,5.29,High,Bajo,85.12,85.12,False,False
23,Female,0.87,3.44,8.91,80.18,2.02,4.82,3.95,Medium,Bajo,85.67,85.67,False,False
22,Male,5.99,7.67,7.42,96.2,2.39,7.58,1.59,Low,Alto,96.57,96.57122032899532,False,True
24,Female,2.44,8.01,5.86,98.92,4.61,5.47,3.03,High,Bajo,88.95,88.95,False,False
23,Male,7.61,8.48,4.49,79.4,2.75,11.78,4.17,High,Alto,54.04,54.03650726930501,False,True
20,Male,5.71,3.82,4.91,83.39,4.0,7.02,1.31,Low,Alto,47.48,47.48,False,False
17,Other,2.61,7.13,6.44,89.83,4.68,3.71,1.1,Medium,Bajo,87.33,87.33,False,False
20,Female,2.32,3.74,6.47,72.75,2.86,8.06,5.74,Medium,Bajo,60.14,60.14,False,False
23,Male,4.19,7.65,7.84,69.07,0.55,8.84,4.65,Medium,Medio,77.07,77.07,False,False
24,Female,0.63,5.17,7.63,98.59,4.11,2.4,1.77,Medium,Bajo,100.0,100.0,False,False
24,Male,0.94,6.38,5.01,77.3,4.09,4.17,3.23,Medium,Bajo,83.62,83.62,False,False
16,Male,1.41,4.74,6.97,60.06,0.57,3.38,1.97,Medium,Bajo,74.6,74.6,False,False
24,Female,6.2,2.46,4.1,93.51,2.74,7.25,1.05,Low,Alto,35.48,35.48,False,False
22,Female,4.11,2.6,5.99,83.99,2.44,7.07,2.96,Medium,Medio,47.64,47.64,False,False
24,Male,0.08,1.7,7.82,66.74,4.24,4.32,4.24,Medium,Bajo,67.51,67.51,False,False
23,Female,5.39,6.56,6.0,61.21,1.37,11.16,5.77,Low,Medio,59.6,59.6,False,False
16,Female,3.39,8.64,8.18,71.66,2.13,8.24,4.85,Medium,Medio,91.88,91.88,False,False
23,Male,4.09,1.19,8.88,97.12,3.02,6.24,2.15,Medium,Medio,66.67,66.67188190516212,False,True
23,Female,1.71,1.6,7.04,97.34,2.59,4.39,2.68,Medium,Bajo,70.18,70.18,False,False
18,Female,4.41,5.12,4.73,72.44,4.78,8.01,3.6,Medium,Medio,56.85,56.85,False,False
16,Female,7.83,7.64,5.9,93.44,4.8,9.79,1.96,High,Alto,70.03,70.03082865031259,False,True
23,Female,0.59,2.42,4.05,77.67,0.41,5.75,5.16,Medium,Bajo,72.48,72.47994815879551,False,True
18,Female,2.27,3.44,7.01,86.17,1.49,4.11,1.84,Medium,Bajo,69.75,69.75,False,False
18,Male,1.94,3.09,8.11,73.38,0.04,4.39,2.45,Medium,Bajo,63.05,63.05,False,False
16,Female,1.99,4.59,7.15,80.64,2.09,5.88,3.89,Medium,Bajo,84.1,84.1,False,False
20,Female,3.03,3.02,7.93,71.75,3.31,4.65,1.62,Medium,Medio,59.51,59.51,False,False
22,Male,6.54,4.17,8.0,62.44,2.36,10.66,4.12,Low,Alto,33.85,33.85,False,False
24,Female,7.26,7.52,8.22,65.58,0.34,13.02,5.76,Low,Alto,75.84,75.84021103153083,False,True
22,Female,1.62,6.5,5.33,71.63,0.98,6.08,4.46,Medium,Bajo,84.88,84.88,False,False
24,Female,4.34,1.73,8.36,99.05,0.87,9.4,5.06,Medium,Medio,51.42,51.42,False,False
23,Male,5.1,6.74,7.27,98.63,2.56,8.29,3.19,Low,Medio,70.14,70.14,False,False
17,Male,4.17,5.29,5.45,93.11,3.39,7.0,2.83,Medium,Medio,71.42,71.42,False,False
16,Female,3.47,9.41,8.94,69.3,1.58,6.11,2.64,Medium,Medio,100.0,108.77322825666388,True,True
22,Male,1.54,3.6,8.75,77.66,0.65,5.84,4.3,Medium,Bajo,77.12,77.12,False,False
22,Female,3.91,7.54,6.87,77.59,3.99,7.5,3.59,Medium,Medio,83.85,83.85,False,False
23,Male,3.21,7.58,8.22,75.48,4.29,6.57,3.36,Medium,Medio,87.4,87.4,False,False
20,Male,6.36,2.99,5.31,61.8,1.38,7.86,1.5,Low,Alto,28.37,28.37,False,False
18,Male,6.11,9.13,6.08,81.38,2.1,10.48,4.37,Low,Alto,89.87,89.86994366733958,False,True
23,Male,1.07,5.42,4.92,62.91,0.41,5.7,4.63,Medium,Bajo,61.04,61.04,False,False
21,Female,0.71,7.11,6.6,92.08,1.14,2.69,1.98,Medium,Bajo,96.03,96.03,False,False
18,Male,7.27,2.31,6.48,87.65,3.84,12.07,4.8,Low,Alto,26.04,26.04,False,False
16,Male,4.28,3.32,5.06,74.11,1.83,9.68,5.4,Medium,Medio,40.98,40.98,False,False
18,Male,6.86,6.27,7.36,85.89,3.02,8.73,1.87,Low,Alto,50.57,50.57,False,False
20,Female,0.47,3.87,4.59,69.32,4.73,3.73,3.26,Medium,Bajo,60.64,60.64,False,False
18,Male,4.21,5.5,4.31,70.61,3.62,9.59,5.38,Medium,Medio,52.38,52.38,False,False
16,Female,4.32,4.37,5.92,72.57,2.27,7.76,3.44,Medium,Medio,56.97,56.97,False,False
20,Female,6.89,6.76,6.05,91.88,1.83,11.97,5.08,Low,Alto,55.43,55.43,False,False
22,Female,0.78,5.38,5.6,68.43,0.95,2.86,2.08,Medium,Bajo,74.27,74.27,False,False
22,Female,1.92,1.04,5.29,82.51,3.78,3.24,1.32,Medium,Bajo,53.47,53.47,False,False
24,Female,3.25,6.85,5.69,68.02,0.56,4.55,1.3,Medium,Medio,70.23,70.23,False,False
18,Female,6.93,4.8,4.82,71.4,0.31,12.79,5.86,Low,Alto,28.03,28.03,False,False
22,Male,7.51,4.08,6.02,69.42,0.52,9.33,1.82,Low,Alto,39.29,39.29,False,False
16,Male,7.94,1.85,8.52,85.8,1.21,13.26,5.32,Low,Alto,25.78,25.78,False,False
19,Male,7.67,2.98,5.12,81.07,3.14,10.25,2.58,Low,Alto,19.15,19.15,False,False
19,Female,0.05,3.01,7.42,88.85,4.31,1.25,1.2,Medium,Bajo,81.44,81.44,False,False
20,Other,0.38,9.42,4.71,68.8,4.96,2.58,2.2,High,Bajo,100.0,100.0,False,False
22,Female,1.18,4.89,5.77,60.37,3.66,4.71,3.53,Medium,Bajo,87.79,87.7929048115807,False,True
22,Male,2.79,1.38,5.61,87.22,0.73,4.32,1.53,Medium,Bajo,45.61,45.61,False,False
19,Female,6.64,2.25,8.69,64.59,1.39,12.25,5.61,Low,Alto,41.83,41.83028579191895,False,True
22,Male,7.14,1.71,6.14,69.85,0.66,12.64,5.5,Low,Alto,20.54,20.54,False,False
18,Male,1.49,6.3,7.45,72.23,0.58,3.24,1.75,Medium,Bajo,100.0,100.0,False,False
21,Male,4.96,2.68,7.01,89.87,2.84,9.65,4.69,Medium,Medio,51.09,51.09,False,False
17,Male,7.34,5.49,4.71,85.04,4.53,10.64,3.3,Low,Alto,39.84,39.84,False,False
24,Female,3.71,4.33,8.7,67.37,3.42,9.62,5.91,Medium,Medio,61.63,61.63,False,False
20,Male,0.83,8.23,5.73,83.92,4.0,2.11,1.28,High,Bajo,95.81,95.807341272612,False,True
21,Male,3.66,3.88,4.22,88.33,2.54,7.02,3.36,Medium,Medio,59.43,59.43,False,False
19,Female,3.01,5.12,5.5,75.56,2.38,5.44,2.43,Medium,Medio,66.67,66.67,False,False
22,Female,4.62,7.49,5.68,69.84,4.69,9.25,4.63,High,Medio,70.99,70.99,False,False
24,Female,3.51,4.9,4.46,87.16,3.61,5.07,1.56,Medium,Medio,65.6,65.6,False,False
22,Male,0.14,8.14,7.1,84.44,2.3,4.28,4.14,Medium,Bajo,100.0,109.08473630488844,True,True
16,Female,7.95,6.96,5.73,63.12,1.66,13.69,5.74,Low,Alto,42.39,42.39,False,False
16,Female,4.35,4.69,7.15,86.67,0.47,7.62,3.27,Medium,Medio,67.78,67.78,False,False
24,Male,3.79,5.54,4.03,79.54,4.1,7.06,3.27,Medium,Medio,59.16,59.16,False,False
24,Female,6.69,8.5,7.81,90.13,0.85,11.12,4.43,Low,Alto,91.92,91.92017996885592,False,True
19,Male,1.25,6.95,4.85,67.63,2.58,4.33,3.08,Medium,Bajo,88.17,88.17,False,False
24,Male,1.51,9.14,7.3,70.33,3.19,4.75,3.24,Medium,Bajo,100.0,100.0,False,False
18,Female,6.46,2.61,7.58,81.73,3.72,9.78,3.32,Low,Alto,32.41,32.41,False,False
22,Female,2.09,5.35,4.86,79.27,0.42,8.08,5.99,Medium,Bajo,69.69,69.69,False,False
21,Male,6.39,9.18,4.56,75.45,0.05,7.97,1.58,High,Alto,78.4,78.39667652392087,False,True
23,Female,2.17,3.9,4.76,89.84,3.53,4.6,2.43,Medium,Bajo,66.62,66.62,False,False
24,Female,0.27,9.71,5.23,82.59,2.27,2.32,2.05,High,Bajo,100.0,105.98646178855331,True,True
20,Female,4.14,1.87,4.84,88.41,0.91,7.86,3.72,Medium,Medio,36.37,36.37,False,False
16,Male,1.57,9.12,7.37,66.13,4.91,2.58,1.01,Medium,Bajo,100.0,100.0,False,False
18,Female,6.06,5.01,6.1,89.16,3.96,11.67,5.61,Low,Alto,58.11,58.11,False,False
23,Male,5.13,1.66,6.69,78.46,2.89,8.79,3.66,Low,Medio,38.84,38.84,False,False
21,Female,7.39,8.92,4.24,61.35,3.51,12.87,5.48,High,Alto,46.6,46.6012417873633,False,True
23,Male,6.26,3.27,8.31,69.38,0.78,8.98,2.72,Low,Alto,43.73,43.73,False,False
24,Male,1.45,1.2,4.85,61.03,4.81,3.2,1.75,Medium,Bajo,36.76,36.76,False,False
19,Female,6.4,2.22,5.8,78.27,4.98,8.36,1.96,Low,Alto,27.41,27.41,False,False
16,Male,5.13,6.93,4.36,73.04,3.24,8.48,3.35,Low,Medio,47.64,47.64,False,False
16,Male,5.35,9.8,4.68,99.5,3.34,6.55,1.2,High,Medio,93.19,93.1874744469936,False,True
19,Male,6.66,2.0,7.33,94.74,3.52,11.57,4.91,Low,Alto,37.92,37.92,False,False
22,Female,4.59,5.16,7.46,93.03,3.33,9.54,4.95,Medium,Medio,67.61,67.61,False,False
17,Male,3.73,2.63,7.38,80.04,2.19,8.24,4.51,Medium,Medio,60.65,60.65,False,False
18,Female,5.09,7.71,6.76,92.28,2.7,10.57,5.48,Low,Medio,88.73,88.72625736509066,False,True
16,Male,2.38,2.06,8.76,70.67,1.41,6.13,3.75,Medium,Bajo,55.64,55.64,False,False
20,Male,1.46,3.16,6.54,82.43,2.23,4.86,3.4,Medium,Bajo,75.82,75.82,False,False
16,Male,4.93,2.77,6.25,75.72,2.18,8.58,3.65,Medium,Medio,45.89,45.89,False,False
23,Female,1.87,5.97,5.24,66.85,1.44,3.78,1.91,Medium,Bajo,89.36,89.36176029714849,False,True
16,Male,0.64,8.86,4.49,62.9,3.93,4.2,3.56,High,Bajo,92.51,92.51,False,False
16,Male,0.0,5.6,6.74,82.33,2.05,3.71,3.71,Medium,Bajo,87.61,87.61,False,False
17,Other,4.87,1.52,5.57,63.91,2.76,9.69,4.82,Medium,Medio,24.11,24.11,False,False
17,Female,2.9,6.07,6.62,88.72,0.78,5.64,2.74,Medium,Medio,83.7,83.7,False,False
21,Male,6.02,8.18,5.03,96.86,2.37,7.48,1.46,High,Alto,79.88,79.88433064435151,False,True
22,Male,3.0,2.19,8.19,66.48,3.81,6.99,3.99,Medium,Medio,65.0,65.00348539565958,False,True
20,Female,3.89,1.65,9.0,78.84,2.22,8.83,4.94,Medium,Medio,65.36,65.36,False,False
16,Male,3.26,2.69,5.61,89.55,2.79,9.11,5.85,Medium,Medio,59.71,59.71,False,False
16,Male,5.2,7.71,8.21,71.47,3.51,6.65,1.45,Low,Medio,87.55,87.54960154278523,False,True
18,Female,2.85,6.33,8.36,96.83,1.94,7.58,4.73,Medium,Medio,91.21,91.21,False,False
17,Female,7.71,5.87,8.98,95.54,1.77,11.69,3.98,Low,Alto,54.9,54.9,False,False
20,Female,7.49,3.25,5.71,64.15,0.43,8.57,1.08,Low,Alto,8.97,8.97,False,False
21,Male,6.78,3.99,7.78,61.1,2.91,11.37,4.59,Low,Alto,38.31,38.31,False,False
22,Male,7.36,9.69,5.14,99.06,3.53,8.49,1.13,High,Alto,76.6,76.60309521096231,False,True
19,Female,3.59,3.17,7.12,98.26,2.91,8.52,4.93,Medium,Medio,64.98,64.98,False,False
22,Male,4.29,9.11,7.52,76.89,1.42,8.9,4.61,Medium,Medio,87.45,87.45,False,False
23,Female,5.94,6.22,7.71,62.02,1.31,10.38,4.44,Low,Alto,58.92,58.92,False,False
16,Female,5.57,2.11,5.04,84.76,0.8,7.17,1.6,Low,Alto,38.19,38.19,False,False
21,Male,7.13,5.21,8.24,71.74,0.23,12.73,5.6,Low,Alto,48.45,48.45,False,False
23,Female,5.73,9.54,6.1,97.47,2.13,11.22,5.49,Low,Alto,85.62,85.6199900584634,False,True
20,Female,7.98,4.77,5.08,91.79,0.8,13.48,5.5,Low,Alto,27.24,27.24,False,False
19,Female,2.79,8.77,6.71,85.98,3.45,5.59,2.8,Medium,Bajo,99.39,99.39,False,False
17,Male,6.66,3.31,8.32,71.38,4.81,10.12,3.46,Low,Alto,43.94,43.94,False,False
21,Male,5.58,6.14,8.84,88.05,0.37,7.15,1.57,Low,Alto,76.82,76.8165965307675,False,True
21,Female,5.53,8.59,7.74,71.57,4.46,6.79,1.26,Low,Alto,88.56,88.5609535265387,False,True
16,Male,2.61,9.29,4.03,61.51,3.29,3.9,1.29,High,Bajo,86.4,86.4,False,False
24,Other,6.28,5.37,4.67,80.34,4.3,10.12,3.84,Low,Alto,52.13,52.13,False,False
21,Male,7.2,6.76,4.38,79.55,0.77,9.81,2.61,Low,Alto,44.19,44.19,False,False
18,Female,1.75,1.03,4.51,90.52,4.53,5.65,3.9,Medium,Bajo,58.84,58.84461279165568,False,True
19,Male,5.0,3.28,5.92,94.63,4.79,8.96,3.96,Medium,Medio,47.54,47.54,False,False
19,Female,3.14,3.51,5.69,74.18,4.53,8.68,5.54,Medium,Medio,55.66,55.66,False,False
18,Male,7.92,1.84,4.57,77.98,3.93,13.33,5.41,Low,Alto,15.08,15.08,False,False
18,Male,3.83,3.52,8.41,78.82,0.45,8.42,4.59,Medium,Medio,64.14,64.14,False,False
18,Male,1.83,3.89,7.08,72.97,1.1,6.92,5.09,Medium,Bajo,76.1,76.1,False,False
19,Female,3.05,9.72,7.98,89.74,4.57,4.07,1.02,Medium,Medio,99.4,99.4,False,False
22,Male,5.23,7.02,5.86,80.88,1.15,6.31,1.08,High,Medio,81.78,81.77816661012079,False,True
19,Female,0.61,4.83,6.05,96.56,1.74,3.9,3.29,Medium,Bajo,87.88,87.88,False,False
24,Female,4.83,9.89,5.59,86.01,0.25,9.1,4.27,High,Medio,84.79,84.79,False,False
16,Male,7.45,2.38,6.19,68.48,3.14,12.42,4.97,Low,Alto,25.11,25.109089330088054,False,True
23,Female,6.8,5.28,7.05,66.59,2.82,10.04,3.24,Low,Alto,50.29,50.29,False,False
22,Male,0.54,6.82,6.46,74.9,4.81,6.24,5.7,Medium,Bajo,100.0,100.0,False,False
17,Other,7.95,1.5,8.19,73.88,4.46,13.02,5.07,Low,Alto,10.67,10.67,False,False
23,Female,5.59,7.45,8.5,76.29,2.53,7.1,1.51,Low,Alto,80.4,80.40250608471575,False,True
16,Male,1.3,1.9,6.35,67.34,3.05,4.5,3.2,Medium,Bajo,57.07,57.07,False,False
24,Male,0.1,2.26,5.2,99.13,2.07,6.07,5.97,Medium,Bajo,69.24,69.24,False,False
24,Male,1.37,2.44,8.73,65.83,0.66,4.42,3.05,Medium,Bajo,72.87,72.87,False,False
17,Other,6.5,9.06,7.44,86.11,4.34,9.64,3.14,Low,Alto,83.66,83.66114802329601,False,True
22,Male,0.17,7.15,7.2,60.52,2.75,2.64,2.47,Medium,Bajo,82.63,82.63,False,False
18,Female,1.87,6.9,7.73,76.28,2.13,5.3,3.43,Medium,Bajo,100.0,108.89931594795696,True,True
22,Male,6.06,6.0,4.38,72.37,0.34,10.71,4.65,Low,Alto,44.39,44.39,False,False
24,Female,4.69,3.64,4.34,75.28,3.33,5.93,1.24,Medium,Medio,35.68,35.68,False,False
19,Male,6.26,6.59,4.77,79.92,2.0,11.44,5.18,Low,Alto,47.86,47.86,False,False
16,Female,5.97,4.69,4.74,84.02,1.27,11.56,5.59,Low,Alto,41.01,41.01,False,False
17,Female,0.4,2.31,6.1,83.34,4.38,5.31,4.91,Medium,Bajo,61.26,61.26,False,False
16,Female,7.14,7.21,4.79,85.23,0.92,12.72,5.58,High,Alto,51.62,51.617656377514194,False,True
20,Male,1.82,2.17,8.27,93.78,2.58,3.29,1.47,Medium,Bajo,75.95,75.94975519720927,False,True
20,Male,4.43,2.72,6.89,95.47,3.98,7.68,3.25,Medium,Medio,65.72,65.72,False,False
22,Male,5.15,8.36,5.84,89.49,4.25,6.51,1.36,High,Medio,85.87,85.86751605822991,False,True
24,Female,1.35,6.94,4.35,63.16,4.09,6.53,5.18,Medium,Bajo,77.79,77.79,False,False
24,Male,7.81,6.68,6.96,98.45,4.48,13.57,5.76,Low,Alto,55.69,55.69,False,False
18,Female,3.91,4.76,4.58,97.9,0.71,6.4,2.49,Medium,Medio,61.59,61.59,False,False
18,Male,0.46,4.57,7.72,88.47,4.7,4.14,3.68,Medium,Bajo,79.68,79.68,False,False
18,Female,7.5,7.21,8.01,80.7,0.05,9.99,2.49,Low,Alto,63.17,63.16524500862786,False,True
19,Female,4.69,7.66,6.72,70.02,1.28,7.58,2.89,Medium,Medio,70.88,70.88,False,False
23,Female,5.59,5.59,4.75,90.25,0.42,8.97,3.38,Low,Alto,52.27,52.27,False,False
21,Male,4.2,9.72,7.93,95.11,4.73,9.15,4.95,Medium,Medio,100.0,108.06139606676896,True,True
23,Male,6.68,9.6,5.54,86.61,2.12,8.41,1.73,High,Alto,71.6,71.60454711361115,False,True
16,Male,0.27,4.71,5.11,85.16,1.58,2.06,1.79,Medium,Bajo,86.37,86.37,False,False
23,Male,2.15,8.39,6.35,67.72,0.84,4.16,2.01,Medium,Bajo,100.0,100.0,False,False
19,Female,3.76,5.89,8.61,74.31,0.78,5.03,1.27,Medium,Medio,79.72,79.72,False,False
16,Female,0.61,5.61,5.49,88.93,3.07,4.83,4.22,Medium,Bajo,81.47,81.47,False,False
23,Female,5.65,1.49,8.53,60.68,0.24,7.6,1.95,Low,Alto,31.58,31.58,False,False
19,Male,3.15,6.17,4.27,85.65,2.97,6.34,3.19,Medium,Medio,71.51,71.51,False,False
21,Female,2.18,9.11,4.42,90.67,3.87,6.61,4.43,High,Bajo,92.52,92.52,False,False
23,Female,0.03,8.02,7.49,73.39,3.01,3.27,3.24,Medium,Bajo,100.0,100.0,False,False
19,Female,5.76,8.08,4.95,63.05,4.13,11.29,5.53,High,Alto,75.26,75.26141396754363,False,True
18,Male,6.67,2.44,5.58,92.76,1.33,11.52,4.85,Low,Alto,26.08,26.08,False,False
24,Male,3.16,4.23,4.68,65.67,0.39,5.53,2.37,Medium,Medio,49.13,49.13,False,False
18,Male,4.51,3.1,5.66,74.83,3.6,6.16,1.65,Medium,Medio,49.38,49.38,False,False
24,Female,1.82,3.84,5.4,88.29,4.14,7.29,5.47,Medium,Bajo,74.69,74.69,False,False
17,Female,4.98,6.22,7.68,92.68,2.51,7.96,2.98,Medium,Medio,68.05,68.05,False,False
17,Male,0.1,4.28,7.51,94.5,4.1,3.01,2.91,Medium,Bajo,81.72,81.72,False,False
17,Male,3.91,6.05,8.77,81.22,2.29,8.96,5.05,Medium,Medio,79.51,79.51,False,False
21,Female,5.15,4.95,7.62,79.03,0.99,6.2,1.05,Low,Medio,60.33,60.33,False,False
18,Female,7.35,3.58,7.47,93.93,2.37,10.61,3.26,Low,Alto,39.33,39.33,False,False
24,Male,3.05,1.86,7.47,82.52,1.08,7.62,4.57,Medium,Medio,59.64,59.64,False,False
19,Female,5.97,8.82,8.21,83.15,2.36,11.36,5.39,Low,Alto,93.93,93.92768602159194,False,True
16,Other,4.78,1.1,5.48,77.36,0.74,10.21,5.43,Medium,Medio,31.23,31.23,False,False
19,Female,7.42,1.01,5.5,74.91,0.93,10.75,3.33,Low,Alto,6.33,6.33,False,False
16,Male,3.19,8.44,7.71,79.22,4.41,8.43,5.24,Medium,Medio,94.69,94.69,False,False
20,Female,2.55,9.97,5.14,74.59,0.58,3.73,1.18,High,Bajo,94.47,94.47,False,False
19,Female,7.04,7.48,8.48,73.74,1.12,9.63,2.59,Low,Alto,77.57,77.56969391708812,False,True
23,Male,0.39,1.14,6.67,99.75,4.98,1.44,1.05,Medium,Bajo,57.2,57.2,False,False
23,Female,1.09,3.04,5.5,73.45,2.88,2.92,1.83,Medium,Bajo,71.38,71.38,False,False
22,Female,0.66,9.75,7.88,70.26,2.93,5.28,4.62,Medium,Bajo,100.0,100.0,False,False
18,Female,6.74,8.28,5.56,74.16,4.22,7.76,1.02,High,Alto,65.39,65.39178514870629,False,True
16,Male,0.08,6.1,8.82,83.63,2.62,3.7,3.62,Medium,Bajo,100.0,100.0,False,False
16,Female,6.89,3.13,8.91,96.44,1.11,9.96,3.07,Low,Alto,48.33,48.33,False,False
18,Female,3.61,1.13,7.33,91.51,2.11,5.22,1.61,Medium,Medio,42.9,42.9,False,False
21,Male,0.03,1.19,4.57,93.69,3.78,4.46,4.43,Medium,Bajo,55.02,55.02,False,False
22,Female,3.21,6.51,5.32,94.36,4.36,7.68,4.47,Medium,Medio,75.45,75.45,False,False
